name,run_dates,Stage
Android Residual Locked Macros,"October 10, 2019 → October 18, 2019",Complete-2019
iOS Residual Locked Macros,"October 10, 2019 → October 18, 2019",Complete-2019
Android // Flattened Me Tab (Existing User),"September 5, 2019",Complete-2019
Premium EBM Cadence Testing,"August 22, 2019 → August 22, 2019",Complete-2019
iOS // Flattened Me Tab + Plus Button + New Launcher,"August 19, 2019 → August 29, 2019",Complete-2019
Android // Multiple product purchase page (yearly & monthly),"August 5, 2019 → August 26, 2019",Complete-2019
Android // Flattened Me Tab (New User),"August 1, 2019 → August 18, 2019",Complete-2019
iOS // Multiple product purchase page (yearly & monthly),"July 22, 2019 → August 21, 2019",Complete-2019
Free Scale Weigh In EBM,"July 17, 2019",Complete-2019
July 4th Push,"July 8, 2019 → July 11, 2019",Complete-2019
(25/75) iOS Premium Nutrients for New Users,"July 1, 2019 → July 8, 2019",Complete-2019
Lifetime Cannon Experiment,"June 18, 2019 → July 8, 2019",Complete-2019
New User EBM,"June 18, 2019 → July 8, 2019",Complete-2019
iOS Native Barcode Scanner,"June 17, 2019 → June 26, 2019",Complete-2019
Android: Premium Nutrients for New Users,"June 12, 2019 → June 23, 2019",Complete-2019
Test Non-Sale General EBM Cadence,"June 12, 2019 → August 7, 2019",Complete-2019
iOS: Test ad placement at the top of the log screen,"June 10, 2019 → June 25, 2019",Complete-2019
Android Search Results Exclude Brand & Restaurant Sections,"May 31, 2019 → June 3, 2019",Complete-2019
iOS $60 Price Test for New Users,"May 28, 2019 → June 10, 2019",Complete-2019
30 Day Streak Test,"May 28, 2019 → June 24, 2019",Complete-2019
iOS Longboarding v3 50/50,"April 26, 2019 → May 13, 2019",Complete-2019
Lifetime 3 Day Streak Reward Testing,"April 24, 2019 → May 13, 2019",Complete-2019
iOS EBM In-App Promo Test,"April 9, 2019 → April 29, 2019",Complete-2019
iOS Premium Nutrients for New Users,"March 29, 2019 → April 26, 2019",Complete-2019
Purchase Error Winback Alert,"March 20, 2019 → April 1, 2019",Complete-2019
Hide My Day Take 2,"February 7, 2019 → February 14, 2019",Complete-2019
iOS Hide Nutrients Tab on My Day,"January 29, 2019 → February 7, 2019",Complete-2019
Android Always Open App to Log Tab,"January 25, 2019 → February 14, 2019",Complete-2019
iOS Longboarding v2 50/50,"January 23, 2019 → January 29, 2019",Complete-2019
"Hide ""Create Account with Facebook"" button for 50% of new users (Android)","January 23, 2019 → March 26, 2019",Complete-2019
Android Log Header Discoverability Dots,"January 16, 2019 → February 12, 2019",Complete-2019
iOS Always Open App to Log Tab,"January 14, 2019 → February 5, 2019",Complete-2019
iOS Longboarding v1,"December 21, 2018 → December 28, 2018",Complete-2019
Android Longboarding v1,"December 18, 2018 → December 28, 2018",Complete-2019
iOS Log Header Discoverability (Dots + More 4 way),"December 13, 2018 → January 7, 2019",Complete-2019
Android Remove Cannon,"November 14, 2018 → December 10, 2018",Complete-2018
iOS Remove Cannon,"November 6, 2018 → December 10, 2018",Complete-2018
Onboarding Exp on both platforms: Tell people we don't share their data at all. [after prem onboarding exps are done],NA,Development
